song,artist,date
Natzurka,Accordzêam
Nekreh El Keld,Souad Massi
Denya,Souad Massi
Khsara Aalik,Souad Massi
Lamen,Souad Massi
Awham,Souad Massi
Bladi,Souad Massi
Raoui,Souad Massi
Pa Pa Power,Dead Man's Bones
Raoui,Souad Massi
Misty Mountain Hop,Led Zeppelin
Ishq Bina,A.R. Rahman
Trocitos de Madera,La Yegros
Radio Ga Ga,Queen
Ed Is A Portal,Akron/Family
Take Me Home, Country Roads,John Denver
HUMBLE.,Kendrick Lamar
Green, Green Rocky Road,Dave Van Ronk
Jasmine (Demo),Jai Paul
Beat For,Jamie xx
They Fixed the Broken Windmill Today,Six Organs of Admittance
The Boxer,Simon & Garfunkel
Boy 1904,Jónsi & Alex
Pink Moon,Nick Drake
Dean Town,Vulfpeck
Red Light Special,TLC
Big Yellow Taxi,Joni Mitchell
Wild World - Acoustic version,王若琳
Greatest Love of All,Whitney Houston
Aurora,Foo Fighters
Song My Friends Taught Me (Instrumental),Laura Veirs
Raoui,Souad Massi
Malembe Malembe,Bonga
Vincent,James Blake
Vienna,Matt Costa
Super Trouper,ABBA
Don't Worry Be Happy,Bobby McFerrin
Follow the Sun,Xavier Rudd
Guerrilla Radio,Rage Against the Machine
Fanshawe,El Ten Eleven
Ritual Mystical (feat. East Forest),MC Yogi
Thinking Loudly,El Ten Eleven
Spirit Bird,Xavier Rudd
Sic Transit Gloria ... Glory Fades,Brand New
UMI Says,Mos Def
Honey and the Moon,Joseph Arthur
Azawade,The Touré-Raichel Collective
Candles,Jon Hopkins
Where Is My Mind?,Pixies
Killed the Lord, Left for the New World,This Will Destroy You
The Last Of The Arkansas Greyhounds,Leo Kottke
Improvisation For Oud 2,Sandy Bull
Somtimes A Bad Attitude Is All It Takes,Harris Newman
Silly Ho,TLC
Bad Boys (Theme From Cops),Inner Circle
Money Come And Money Go,Lee "Scratch" Perry
Love Me Still,Chaka Khan
Have You Ever Seen the Rain?,Creedence Clearwater Revival
Japura River,Philip Glass
Sahib Teri Bandi - Maki Madni,The Derek Trucks Band
America,Simon & Garfunkel
Omnes gentes, plaudite (Sequence for the Ascension),Traditional
Inventor rutili (Hymn for the Lighting of the Easter Fire),Traditional
kepesh,Arms and Sleepers
Penelope,Pinback
A Real Hero (feat. Electric Youth),College
O Re Piya,Rahat Fateh Ali Khan
Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper
Penelope,Pinback
Everything'll Be Alright (Will's Lullaby),Joshua Radin
Nahin Saamne Tu (From "Taal"),Hariharan
Everything Is Fair,A Tribe Called Quest
Ave maria...Virgo serena (Sequence for the Annunciation),Traditional
Her Morning Elegance,Oren Lavie
Little Martha,The Allman Brothers Band
Dance Yrself Clean,LCD Soundsystem
Ali Da Malang,Nusrat Fateh Ali Khan
I Love the USA,Weezer
Mere Mehboob Qayamat Hogi - From "Mr X in Bombay",Kishore Kumar
Ain't No Sunshine,Bill Withers
Chaghaybou,Tinariwen
The Cascades,Fleet Foxes
John Henry (2),Blind Thomas
Feeling Good,Dorothy Ashby
Door to the cosmos,Sun Ra
Redemption Song,Bob Marley & The Wailers
Bermuda Triangle Exit,John Renbourn
Blessings,Chance the Rapper
The Love Wheel,Abner Jay
Heart in a Cage,Chris Thile
Ain't No Grave,Crooked Still
Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),Fretless
Heart Of Gold - Remastered Album Version,Neil Young
Concerning Hobbits,Howard Shore
Sandman,Jim Sullivan
Antwerpen Branle,Andrei Krylov
Third Class Carriage,Alexandre Desplat
The Chant,Artie Shaw
The Battle of Evermore,Led Zeppelin
Ruby,Ali Farka Touré
Weird Fishes,Noordpool Orchestra
The Needle and the Damage Done,Neil Young
Oh What A World,Rufus Wainwright
The Trapeze Swinger,Iron & Wine
Powerman,The Kinks
June Tune,Fretless
Love Comes And Goes,Xavier Rudd
The Letter,Xavier Rudd
Famine,Xavier Rudd
Come Let Go,Xavier Rudd
Follow the Sun,Xavier Rudd
Spirit Bird,Xavier Rudd
Hope,Fat Freddy's Drop
I Love the USA,Weezer
The Bleeding Heart Show,The New Pornographers
Nigahen Chura Kar Kay,Sher Ali , Mehr Ali Qawwal
Hum Faquiron Ko Madine Kee Gali,Sher Ali , Mehr Ali Qawwal
Astra Et Luna,Enya
My! My! Time Flies!,Enya
Wild Child,Enya
Creating a Dream,Xavier Rudd
Carnival Jump,Sandy Bull
Flag,Xavier Rudd
Lujon,Henry Mancini
Poison,Bert Jansch
Heart in a Cage,Chris Thile
Antwerpen Branle,Andrei Krylov
Carnival Jump,Sandy Bull
Concerning Hobbits,Howard Shore
Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),Fretless
Can't We Just Listen To The Silence,Explosions in the Sky
The Lines On The Road That Lead You Back Home,Explosions in the Sky
The Adventures Of Alvin And Lance,Explosions in the Sky
Alone Time,Explosions in the Sky
Rain,Explosions in the Sky
Less Than a Pearl,Enya
Kothbiro,Ayub Ogada
Ali R U OK?,M.I.A.
Passing Time,Explosions in the Sky
Witchy Woman,Eagles
Only time - original version,Enya
An Old Peasant Like Me,Explosions in the Sky
Dear Alvin,Explosions in the Sky
Shah-E-Madina,Sher Ali , Mehr Ali Qawwal
In Our Nature,José González
Nigahen Chura Kar Kay,Sher Ali , Mehr Ali Qawwal
Bari Door Madina Tora,Sher Ali , Mehr Ali Qawwal
Sanson Ki Maala Pe Simrun Main,Nusrat Fateh Ali Khan
Chashm-E-Saqi Ne Yeh Kiya,Sher Ali , Mehr Ali Qawwal
Shahbaaz Qalander Laal,Nusrat Fateh Ali Khan
Ali Da Malang,Nusrat Fateh Ali Khan
Bitterblue - Royal Albert Hall 1972,Yusuf / Cat Stevens
Everything Is Fair,A Tribe Called Quest
Where Do The Children Play?,Yusuf
Ramta Jogi,A.R. Rahman
Hallelujah - Live at Benaroya Hall with The Seattle Symphony,Brandi Carlile
White Daisy Passing,Rocky Votolato
Jhoole Jhoole Lal,Nusrat Fateh Ali Khan
Killed the Lord, Left for the New World,This Will Destroy You
Around the World,Daft Punk
Bad Girls,M.I.A.
Buffalo Soldier,Bob Marley & The Wailers
Heart of Gold,Neil Young
Inventor rutili (Hymn for the Lighting of the Easter Fire),Traditional
Aminals,Baths
Down In The Valley,The Head and the Heart
Mere Mehboob Qayamat Hogi - From "Mr X in Bombay",Kishore Kumar
Coastal Brake,Tycho
Ed Is A Portal,Akron/Family
Strawberry Swing,Coldplay
Ketto Revisited (feat. Bonobo),Kidkanevil
Jhoole Jhoole Lal,Nusrat Fateh Ali Khan
Use somebody,Scala & Kolacny Brothers
Adounia Ti Chidjret,Tinariwen
Lorge,El Ten Eleven
The Weight,The Band
Diamonds on the Soles of Her Shoes,Paul Simon
Lamento di Tristano - La Rotta - Saltarello - Medley,John Renbourn
Carnival Jump,Sandy Bull
Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),Fretless
Concerning Hobbits,Howard Shore
Antwerpen Branle,Andrei Krylov
I'm Right Here,Theodore Shapiro
The Waggoner's Lad - 2015 Remaster,Bert Jansch
Attaboy,Stuart Duncan
Days Go By - Acoustic,Dirty Vegas
Fireflies,Adam Young
Penelope,Pinback
Open Book,José González
It Was A Good Day,Ice Cube
The Bleeding Heart Show,The New Pornographers
Into The Mystic,Van Morrison
going to buy some strawberries,Lullatone
Kiara,Bonobo
Snow ((Hey Oh)),Red Hot Chili Peppers
Only time - original version,Enya
Carnival Jump,Sandy Bull
Seinfeld - Theme,Sid & the Comeds
The Office - TV Serie, Intro,The Scabbles
Iris,Goo Goo Dolls
Theme from "X-Files",The Film Score Orchestra
The Fresh Prince of Bel-Air,DJ Jazzy Jeff & The Fresh Prince
Three Little Birds,Bob Marley & The Wailers
Obiero,Ayub Ogada
The Wind,Yusuf
Down By The River - Remastered Album Version,Neil Young
Twenty Miles,Deer Tick
Bedouin Dress,Fleet Foxes
This Must Be the Place (Naive Melody),Talking Heads
Trading Places,Boot Camp Clik
All Falls Down,Kanye West
Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack,Alison Krauss
One Armed Scissor,At the Drive-In
Girls Just Want To Have Fun,Starfucker
Bad Boys (Theme From Cops),Inner Circle
Love Me Still,Chaka Khan
Jhoole Jhoole Lal,Nusrat Fateh Ali Khan
Song for You,Alexi Murdoch
Blue Mind,Alexi Murdoch
Orange Sky,Alexi Murdoch
Home,Alexi Murdoch
Breathe,Alexi Murdoch
All My Days,Alexi Murdoch
Grey Room,Damien Rice
Me, My Yoke and I,Damien Rice
Coconut Skins,Damien Rice
Rootless Tree,Damien Rice
Les Champs-élysées,Joe Dassin
Powerman,The Kinks
Arrival in Benares from Merchant Ivory's film THE GURU,Ustad Vilayat Khan
Play With Fire,The Rolling Stones
Symphony No. 7 in A (Op. 92) Allegro con brio,Fritz Reiner and The Chicago Symphony Orchestra
Praise Him (traditional),Udaipur Convent School Nuns and Students
Strangers,The Kinks
Memorial (traditional),Narlai Village Troubador
Typewriter, Tip, Tip, Tip from Merchant Ivory's film BOMBAY TALKIE (Sung by Kisore Kumar & Asha Bhosle),Kisore Kumar
Suite Bergamasque: 3. Clair De Lune,Alexis Weissenberg
The Deserted Ballroom from Merchant Ivory's film SHAKESPEARE WALLAH,Satyajit Ray
Farewell To Earnest From Merchant Ivory's Film The Householder,Jyotitindra Moitra
Prayer (traditional),Jodphur Sikh Temple Congregation
Montage from Nityananda Datta's film BAKSA BADAL,Satyajit Ray
Title Music from Merchant Ivory's film BOMBAY TALKIE,Shankar-Jaikishan
Charu's Theme from Satyajit Ray's film CHARULATA,Satyajit Ray
Ruku's Room from Satyajit Ray's film JOI BABA FELUNATH,Satyajit Ray
Title Music From Satyajit Ray's film TEEN KANYA,Satyajit Ray
Title Music From Merchant Ivory's Film The Householder,Jyotitindra Moitra
This Time Tomorrow,The Kinks
This Time Tomorrow,The Kinks
Title Music From Satyajit Ray's film JALSAGHAR,Ustad Vilayat Khan
Where Do You Go to (My Lovely),Peter Sarstedt
Auf dem Gebirge hat man ein Geschrei gehöret,Heinrich Schütz
Unfailing Light - A.gitnik,Monks Choir of Kiev Pechersk Monastery
I'm Every Woman,Chaka Khan
Through the Fire,Chaka Khan
I'm Every Woman,Chaka Khan
Ain't Nobody,Rufus
Everlong,Scala & Kolacny Brothers
Burn - Confession Special Edition Version,Usher
Canto De Ossanha,Jurassic 5
Mako Mady,Ballaké Sissoko & Vincent Segal
In the Waiting Line,Zero 7
One of These Things First,Nick Drake
Super Trouper,ABBA
Kothbiro,Ayub Ogada
Unspoken Peace,Daniel Kaede
Pi's Lullaby (From "Life of Pi"),Mychael Danna
Flight of the Green Chair,Noam Pikelny
Back to Black,Amy Winehouse
Rainbow Chaser,Isato Nakagawa
Champagne and Quail,Henry Mancini
Lonesome Moonlight Waltz,Noam Pikelny
Pondicherry,Mychael Danna
Big Sam Thompson,Chris Thile
Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),Fretless
Lady Penelope,Isato Nakagawa
Boathouse On The Lullwater,Noam Pikelny
Orphan Girl (Live),Crooked Still
Main Panjtani Panjtani Hoon,Sher Ali , Mehr Ali Qawwal
Blackbird (Arr. for Classical Guitar),Dieter Max
I'm Right Here,Theodore Shapiro
Moving Through Time,Angelo Badalamenti
Raining At Sunset,Chris Thile
Piano and Strings,Henry Mancini
Spanish Renaissance Lute Gagliarde,Andrei Krylov
The Wilhelm Scream,James Blake
Hold On,The Bins
Dogs,Damien Rice
Whole Wide World,Wreckless Eric
1979,The Smashing Pumpkins
Can I Kick It?,A Tribe Called Quest
1/1 - 2004 Digital Remaster,Brian Eno
The Other Side of Mt. Heart Attack,Liars
Turn Me On,Norah Jones
Mykonos,Fleet Foxes
Casimir Pulaski Day,Sufjan Stevens
Satellite,Dave Matthews Band
Matadjem Yinmixan,Tinariwen
Weird Fishes,Noordpool Orchestra
The Wings,Gustavo Santaolalla
Attaboy,Stuart Duncan
Big Sam Thompson,Chris Thile
Tree Circle,Isato Nakagawa
Slow And Easy,Henry Mancini
Mustafa Ya Mustafa,Nusrat Fateh Ali Khan
It'll End Too Soon,Crooked Still
The Curious Beetle Medley,Jeremy Kittel
June Tune,Fretless
Bonaparte's Retreat/Yell in the Shoats,Brittany Haas
Did You Sleep Well?,Crooked Still
Mr. Moustafa,Alexandre Desplat
Unspoken Peace,Daniel Kaede
Dear Heart - REMASTERED,Henry Mancini
Yamour,Andrew York
Overland,Noam Pikelny
Biwako Crushing Song,Isato Nakagawa
Flowers Never Bend with the Rainfall,Simon & Garfunkel
Orphan Girl (Live),Crooked Still
La Salle Des Pas Perdus,Rodrigo y Gabriela
Rubylove - Demo Version,Yusuf / Cat Stevens
Naked As We Came,Iron & Wine
Chudiyan Khanak Gayeen,Lata Mangeshkar
Crosses,José González
Thugz Mansion - Nas AcousticPac
Baltimore Blues No. 1,Deer Tick
Faithfully,Journey
Neighbors,J. Cole
Bermuda Highway,My Morning Jacket
Promentory,Trevor Jones
The Glory,Kanye West
Man in the Box,Alice in Chains
Voice of the Voiceless,Rage Against the Machine
Maria,Rage Against the Machine
Born as Ghosts,Rage Against the Machine
Born of a Broken Man,Rage Against the Machine
Sleep Now in the Fire,Rage Against the Machine
Mic Check,Rage Against the Machine
Calm Like a Bomb,Rage Against the Machine
Bidi Bidi Bom Bom,Selena
Casey Jones - 2001 Remastered Version,Grateful Dead
Redford (for Yia-Yia and Pappou),Sufjan Stevens
Pondicherry,Mychael Danna
Guerrilla Radio,Rage Against the Machine
Mic Check,Rage Against the Machine
Bidi Bidi Bom Bom,Selena
Fools Rush In,Peggy Sue
Dry the Rain,The Beta Band
Clowns,Goldfrapp
So Long, Lonesome,Explosions in the Sky
Jealous Guy - Live Version,Donny Hathaway
I Can See Your Tracks,Laura Veirs
You're Gonna Make Me Lonesome When You Go,Bob Dylan
Hope,Fat Freddy's Drop
Wandering Eye,Fat Freddy's Drop
Roady,Fat Freddy's Drop
Flashback,Fat Freddy's Drop
Dark Days,Fat Freddy's Drop
Ray Ray,Fat Freddy's Drop
This Room,Fat Freddy's Drop
Cay's Crays,Fat Freddy's Drop
Ernie,Fat Freddy's Drop
If I Needed You,Townes Van Zandt
Palaces of Montezuma,Grinderman
Amsterdam,Gregory Alan Isakov
Super Trouper,ABBA
Moonlight Mile - Remastered,The Rolling Stones
Crash into Me,Dave Matthews Band
Orange Sky,Alexi Murdoch
Bulleya,Junoon
Samson,Regina Spektor
Guerrilla Radio,Rage Against the Machine
O Superman - For Massenet Remastered,Laurie Anderson
Kothbiro,Ayub Ogada
Vienna,Matt Costa
Super Trouper,ABBA
Sally's Tomato,Henry Mancini
Biwako Crushing Song,Isato Nakagawa
Valse Brillante In A-flat Major, Op. 34, No. 1,Jean-Yves Thibaudet
Moving Through Time,Angelo Badalamenti
The Peace Of The Wild Things/Dayblind,Crooked Still
Coconut Skins,Damien Rice
Orange Front,Noam Pikelny
Bali,Isato Nakagawa
Ora Lee,Brittany Haas
June Tune,Fretless
Shishi odori,Isato Nakagawa
Returning,Gustavo Santaolalla
Schwesterlein, Schwesterlein, wann gehen wir nach Haus,Ulli Boegershausen
Slow And Easy,Henry Mancini
Attaboy,Stuart Duncan
Wind And Rain,Crooked Still
I’ve Been A Long Time Leavin' (But I’ll Be A Long Time Gone),Noam Pikelny
Tin tin kyrano,Isato Nakagawa
The Curious Beetle Medley,Jeremy Kittel
The Secret Life Of Daydreams - From "Pride & Prejudice" Soundtrack,Dario Marianelli
Heart in a Cage,Chris Thile
Lujon,Henry Mancini
Old Banjo,Noam Pikelny
Tsumujikaze,Isato Nakagawa
Lulu,Fretless
Vienna,Matt Costa
Still D.R.E.,Dr. Dre
No Scrubs,TLC
Silly Ho,TLC
FanMail,TLC
Testify,Rage Against the Machine
Abram,José González
Loch Raven,Animal Collective
Game Shows Touch Our Lives,The Mountain Goats
The Bleeding Heart Show,The New Pornographers
Chinese Translation,M. Ward
The Universe,Gregory Alan Isakov
The Only Living Boy in New York,Simon & Garfunkel
America,Simon & Garfunkel
Baby Driver,Simon & Garfunkel
Bridge over Troubled Water,Simon & Garfunkel
The Only Living Boy in New York,Simon & Garfunkel
Baby Driver,Simon & Garfunkel
Cecilia,Simon & Garfunkel
The Boxer,Simon & Garfunkel
Monterey,The Milk Carton Kids
Blue Mind,Alexi Murdoch
Wish You Were Here,The Milk Carton Kids
Snake Eyes,The Milk Carton Kids
He Would Have Laughed,Deerhunter
I Summon You,Spoon
Calm Like a Bomb,Rage Against the Machine
Sun, Arise! (An Invocation, An Introduction),Phosphorescent
Needle in the Hay,Elliott Smith
Montezuma,Fleet Foxes
Neverland - Piano Variation In Blue - Finding Neverland/Soundtrack Version,Jan A.P. Kaczmarek
Super Trouper,ABBA
All My Days,Alexi Murdoch
Chaghaybou,Tinariwen
Oliver James,Fleet Foxes
Eldam,Etran Finatawa
Malembe Malembe,Bonga
Malembe Malembe,Bonga
Deer Dance,System of a Down
Trocitos de Madera,La Yegros
Believe,The Bravery
Suggestions,José González
The Wind,Yusuf
Malembe Malembe,Bonga
Waiving to Ryan (The Rolling Waves / The North Star / Sean Ryan's Jig),Fretless
The Sound of Silence,Simon & Garfunkel
Starboy,The Weeknd
Vienna,Matt Costa
Vienna,Matt Costa
I'm Right Here,Theodore Shapiro
Blackbird (Arr. for Classical Guitar),Dieter Max
Antwerpen Branle,Andrei Krylov
Concerning Hobbits,Howard Shore
Hey You - 2011 Remastered Version,Pink Floyd
Homesick,Kings of Convenience
Vienna,Matt Costa
Come Sail Away,Styx
MacArthur Park - Single Version,Donna Summer
Happy New Year,ABBA
Super Trouper,ABBA
Take a Chance on Me,ABBA
Feeling Good,Michael Bublé
Blue Skies,Willie Nelson
stuck - superpitcher mix,Contriva
Afterglow,José González
Creep - Live [Explicit],Scala & Kolacny Brothers
Starboy - Recorded At Spotify Studios NYC,Shaed
Wish You Were Here,Pink Floyd
Diamonds on the Soles of Her Shoes (Cover),Passenger
Hope There's Someone,Antony and the Johnsons
Pink Moon,Nick Drake
Can't Get You Out Of My Head,Scala & Kolacny Brothers
Bad Boys (Theme From Cops),Inner Circle
Snake Eyes,The Milk Carton Kids
White Rabbit,Jefferson Airplane
Beat For,Jamie xx
Wililé,Fatoumata Diawara
Soukora,Ali Farka Touré
Loch Raven,Animal Collective
Our House,Crosby, Stills, Nash & Young
Amassakoul 'n'ténéré,Tinariwen
Down the Hillside,José González
They Are Night Zombies!! They Are Neighbors!! They Have Come Back From the Dead!! Ahhhh!,Sufjan Stevens
Ms. Hill,Talib Kweli
Sleep Sound,Jamie xx
Cecilia,Simon & Garfunkel
Words - EDX Remix,Birdy
Sastanàqqàm,Tinariwen
Mother Sky (from Deep End),Can
Welcome Home,Radical Face
Jhoole Jhoole Lal,Nusrat Fateh Ali Khan
Hard Sun,Eddie Vedder
Yèkèrmo sèw,Mulatu Astatke
Ain't No Sunshine,Bill Withers
Try a Little Tenderness,Otis Redding
I Love the USA,Weezer
Dean Town,Vulfpeck
Vienna,Matt Costa
Diablo Rojo,Rodrigo y Gabriela
Beata nobis gaudia (Hymn at Lauds for Pentecost),Traditional
Dil Se Re,A.R. Rahman
Wild World,Yusuf
Another Brick in the Wall, Pt. 2,Pink Floyd
Strong Enough,Sheryl Crow
Veni, Sancte Spiritus (Sequence for Pentecost),Traditional
Kid A,Punch Brothers
Every Age,José González
The Stable Song - Live at Spotify House,Gregory Alan Isakov
Sun It Rises,Fleet Foxes
Anji,John Renbourn
Angie - 2015 Remaster,Bert Jansch
Funeral Song for Mississippi John Hurt,John Fahey
Reason to Believe,Karen Dalton
The Green Pastures,William Tyler
Caddo Lake,Michael Chapman
Wilson Rag,Elizabeth Cotten
$ave Dat Money (Feat. Fetty Wap & RIch Homie Quan),Lil Dicky
redwood ramble,Robbie Basho
Raga in "D",Ted Lucas
Whole Wide World,Wreckless Eric
Ali Da Malang,Nusrat Fateh Ali Khan
I'll See You In My Dreams - .,Django Reinhardt
Vienna,Matt Costa
Don't Go To Strangers,J.J. Cale
Green Tea,John Scofield
Let Down,Easy Star All-Stars
Stay Forever,Ween
Dark Was the Night, Cold Was the Ground,Jack Rose
From Spink to Correctionville,Leo Kottke
Little Dog's Day,Glenn Jones
Aerial Boundaries,Michael Hedges
Freight Train,Elizabeth Cotten
Owls,Leo Kottke
Say Yes,Elliott Smith
Aurora,Foo Fighters
Ave, maris stella (Hymn to Mary),Traditional
Heartbeats,José González
Sunrise,Norah Jones
The Ellie Badge,Michael Giacchino
Everybody's Talkin',Bill Withers
Clair De Lune,Flight Facilities
Stomping Tonight On The Pennsylvania /Alabama Border - Version 1,John Fahey
Blues Music,G. Love & Special Sauce
Don't Panic,Coldplay
Sun Giant,Fleet Foxes
These Days,Jackson Browne
Wililé,Fatoumata Diawara
I Wonder If Heaven Got A Ghetto - Hip-Hop VersionPac
Smells Like Teen Spirit,Scala & Kolacny Brothers
My Name Is Jonas,Weezer
Kariye Na,A.R. Rahman
Into The Mystic,Van Morrison
Street Spirit (Fade Out),Radiohead
Me and Bobby McGee,Janis Joplin
Baby's on Fire,Die Antwoord
Matadjem Yinmixan,Tinariwen
sad lisa,Yusuf
Maybe I’m Amazed - Remastered,Paul McCartney
Steven,Voxtrot
Vincent,James Blake
Peace Train,Yusuf
Comptine d'un autre été, L'Après-midi,Yann Tiersen
Rocket Man (I Think It's Going to Be a Long Long Time),Elton John
These Days,Nico
Chop Suey!,System of a Down
Orange Sky,Alexi Murdoch
Big Country,Béla Fleck and the Flecktones
Creep - Live,Scala & Kolacny Brothers
Nahin Saamne Tu (From "Taal"),Hariharan
Afterglow,José González
Walk on the Wild Side,Lou Reed
Oliver James,Fleet Foxes
Keep Your Head Up,Ben Howard
Going to California,Led Zeppelin
Could You Be Loved,Bob Marley & The Wailers
Two Little Feet,Greg Brown
One of These Things First,Nick Drake
Yaar Bina,Junoon
Redemption Song,Bob Marley & The Wailers
Yaar Bina,Junoon
Your Song,Elton John
going to buy some strawberries,Lullatone
Night Thoughts,Wu Man
Creature Fear,Bon Iver
Down the Hillside,José González
Clouds,Marian
I Got 5 On It - feat. Michael Marshall,Luniz
I Want It All - Roland M. Dill Remix,Depeche Mode
Slow Moves,José González
Cannonball,Damien Rice
Kala Jora Pa,Badnaam
Sweet & Bitter,Junip
Reckoner,Radiohead
Rawnald Gregory Erickson the Second,Starfucker
Banshee Beat,Animal Collective
Grates nunc omnes reddamus Domino Deo (Sequence for Christmas, Midnight Mass),Traditional
Talkin' Bout a Revolution,Tracy Chapman
Llegando a Ti,Chavela Vargas
Homesick,Kings of Convenience
Between Radnor And Sunrise,William Tyler
Aerial Boundaries,Michael Hedges
Of Its Own Kind,Glenn Jones
Green Rocky Road,Dave Van Ronk
Blues For Percy Danforth,Jack Rose
Sligo River Blues,John Fahey
Mother's Last Word to Her Son,Washington Phillips
Fresh As A Sweet Sunday Morning - 2009 Digital Remaster,Bert Jansch
Ojo,Leo Kottke
Diagonal,Richard Crandell
My Name Is Carnival - 2001 Remaster,Jackson C. Frank
Funeral Song for Mississippi John Hurt,John Fahey
Angie - 2015 Remaster,Bert Jansch
These Days,Nico
This Must Be the Place [Naïve Melody] [Live at the Pantages Theatre, December 1983] (45 Version),Talking Heads
Paranoid,Black Sabbath
Vienna,Matt Costa
Hit Or Miss - Live,Odetta
'Till I Collapse,Eminem
La Mer,Nine Inch Nails
The Boy Who Blocked His Own Shot,Brand New
Jesus Christ,Brand New
137,Brand New
The Boy Who Blocked His Own Shot,Brand New
Shine,The Morning Of
The Sound Of Something Secure,The Morning Of
Violins and Trees (Unforgettable),The Morning Of
The World As We Know It,The Morning Of
The New Is In,The Morning Of
Smooth Sailing,The Morning Of
Reverie,The Morning Of
Unpretty,TLC
Let Your Spirit Soar,The Morning Of
Goodbye Gravity, Welcome Change,The Morning Of
Don't Go To Strangers,J.J. Cale
Each Coming Night,Iron & Wine
The Rip,Portishead
If I Laugh - Demo Version,Yusuf / Cat Stevens
Through the Fire,Chaka Khan
Dance For The Death Of A Bird,William Ackerman
An Unseen Direction,The Morning Of
A Day At The Sea,John Martyn
The Last Of The Arkansas Greyhounds,Leo Kottke
Diagonal,Richard Crandell
Parachute,Neck Deep
Dance For Two People,Davy Graham
The Ten Years Waltz,The Dillards
Allegro Piradissimo,Satwa
Imaginational Anthem,Max Ochs
Renaissance Piece,Davy Graham
Pardesi Pardesi,Udit Narayan
Skinny Love,Bon Iver
The Animals Were Gone,Damien Rice
Lonely Day,System of a Down
Misty Mountain Hop,Led Zeppelin
The Wind - Yusuf's Café,Yusuf / Cat Stevens
Give Me One Reason,Tracy Chapman
Only One,Lifehouse
Song To The Siren,John Frusciante
First Day of My Life,Bright Eyes
I'm Coming Out,Diana Ross
Diamonds on the Soles of Her Shoes,Paul Simon
beginning,Dana Westover
How Low,José González
Peace Train,Yusuf
Friend of the Devil - 2001 Remastered Version,Grateful Dead
The A Team,Ed Sheeran
King Without a Crown,Matisyahu
Bluebird Story,DJ Okawari
Fall Creek Boys Choir,James Blake
Real Slow,Megafaun
Honey and the Moon,Joseph Arthur
First Breath After Coma,Explosions in the Sky
Casimir Pulaski Day,Sufjan Stevens
The Funeral,Band of Horses
Her Morning Elegance,Oren Lavie
One Love/People Get Ready,Bob Marley & The Wailers
Landslide,Fleetwood Mac
HUMBLE.,Kendrick Lamar
Neighbors,J. Cole
Jaadu Teri Nazar - From "Darr",Udit Narayan
Prickly Pear,Portico Quartet
Butter,A Tribe Called Quest
Amidinine,Bombino
Masquerade - Ballet Suite: 1. Waltz,Aram Khachaturian
rattlesnake charm,Sean Hayes
Kise Da Yaar Na Vichhre,Nusrat Fateh Ali Khan
Obvs,Jamie xx
FanMail,TLC
Silly Ho,TLC
FanMail,TLC
ThIs Is Not the End,Fieldwork
Animus Vox,The Glitch Mob
Hit Or Miss - Live,Odetta
River Song,Dennis Wilson
Trouble Sleep Yanga Wake Am,Fela Kuti
Diagonal,Richard Crandell
Improvisation For Oud 2,Sandy Bull
(Variations on) 'Easter',Robbie Basho
Raga in "D",Ted Lucas
Night Birds,Ed Gerhard
Bermuda Triangle Exit,Stefan Grossman
Grow,Scott Witte
Dance For The Death Of A Bird,William Ackerman
Wine and Roses,John Fahey
Auditorium w/ The Ruler,Mos Def
All I Really Wanna Do,Holly Palmer
Dream Of Thaw,Balmorhea
Bridge over Troubled Water,Simon & Garfunkel
Skipper,Rob Carr
Vincent,James Blake
Oh Yoko! - 2010 - Remaster,John Lennon
Electric Relaxation,A Tribe Called Quest
Down By The River - Remastered Album Version,Neil Young
Flume,Bon Iver
Little Bit,Lykke Li
Stranger Things,Kyle Dixon & Michael Stein
Carmina Burana Fantasy,Sandy Bull
Les Champs-Elysées,Joe Dassin
Killing for Love,José González
On The Road To Find Out,Yusuf
Patterns,Simon & Garfunkel
Somebody to Love,Jefferson Airplane
Stories We Build, Stories We Tell,José González
Ali Farka Touré,Toumani Diabaté
I Still Haven't Found What I'm Looking For - Remastered 2007,U2
Black Dog,Led Zeppelin
The Wolves,Ben Howard
We Didn't Start the Fire,Billy Joel
Under the Bridge,Red Hot Chili Peppers
Malembe Malembe,Bonga
Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack,Alison Krauss
Songbird,Eva Cassidy
Electric Relaxation,A Tribe Called Quest
Dass Nain Ki Pyar Wichon Khatia,Lal Chand Yamla Jatt
Georgia,Emily King
Bad Moon Rising,Creedence Clearwater Revival
Time Will Tell,Bob Marley & The Wailers
Pain,De La Soul
93 'til Infinity,Souls of Mischief
Gold Digger,Kanye West
Father And Son,Yusuf
Kothbiro,Ayub Ogada
I And Love And You,The Avett Brothers
And the Boys,Angus & Julia Stone
Peace Train - Royal Albert Hall,Yusuf / Cat Stevens
Who's Gonna Save My Soul - Demo Version,Gnarls Barkley
